motor_timestamp,motor_position,arduino_timestamp,arduino_position
1739940632.0849,0.545739054679871,1739940645.90422,-45.795
1739940632.095,0.558018565177918,1739940645.95478,-42.25
1739940632.10515,0.5678471326828,1739940646.00531,-38.665
1739940632.11524,0.575510859489441,1739940646.05583,-35.085
1739940632.12532,0.584484934806824,1739940646.10627,-31.165
1739940632.13547,0.604946970939636,1739940646.15673,-27.655
1739940632.14558,0.604946970939636,1739940646.2073,-24.1
1739940632.15572,0.615401148796082,1739940646.25784,-20.46
1739940632.16583,0.627976298332214,1739940646.3086,-16.65
1739940632.17594,0.638779520988464,1739940646.35912,-13.42
1739940632.18605,0.646822810173035,1739940646.40963,-9.895
1739940632.19616,0.65543258190155,1739940646.4601,-5.8
1739940632.20626,0.665037989616394,1739940646.5106,-2.48
1739940632.21635,0.675997614860535,1739940646.56109,1.05
1739940632.22643,0.697924494743347,1739940646.61152,4.6
1739940632.23655,0.708540797233582,1739940646.66197,8.15
1739940632.24667,0.716807246208191,1739940646.71244,11.595
1739940632.25677,0.716807246208191,1739940646.76287,14.845
1739940632.26688,0.726054072380066,1739940646.81335,18.84
1739940632.27698,0.736140131950378,1739940646.86391,22.26
1739940632.28709,0.746563792228699,1739940646.91445,25.83
1739940632.2972,0.756722331047058,1739940646.96533,29.765
1739940632.30732,0.768151164054871,1739940647.01589,33.205
1739940632.31744,0.778775095939636,1739940647.0664,36.865
1739940632.32756,0.79638946056366,1739940647.09764,40.49
1739940632.33769,0.806483149528503,1739940647.11772,0
1739940632.34778,0.817721247673035,1739940647.14802,4
1739940632.35788,0.827744364738464,1739940647.16841,4.295
1739940632.36798,0.83899199962616,1739940647.19885,47.665
1739940632.37819,0.83899199962616,1739940647.25885,50.895
1739940632.38833,0.849467158317566,1739940647.30936,54.835
1739940632.39841,0.85728919506073,1739940647.35994,58.165
1739940632.40852,0.865717768669128,1739940647.41052,61.625
1739940632.41862,0.87637984752655,1739940647.46191,65.42
1739940632.42871,0.898495554924011,1739940647.51243,68.865
1739940632.4388,0.910044550895691,1739940647.5629,72.43
1739940632.44889,0.92064368724823,1739940647.61335,75.885
1739940632.459,0.928084254264832,1739940647.66383,79.71
1739940632.4691,0.935868144035339,1739940647.71433,83.135
1739940632.47919,0.935868144035339,1739940647.76483,86.48
1739940632.48932,0.945381999015808,1739940647.81555,90.54
1739940632.4994,0.956528544425964,1739940647.86614,94.085
1739940632.50947,0.967703700065613,1739940647.91672,97.56
1739940632.51955,0.990580439567566,1739940647.9673,101.185
1739940632.52962,0.99815833568573,1739940648.01799,104.855
1739940632.5397,1.00606238842011,1739940648.0685,108.215
1739940632.54978,1.01525390148163,1739940648.11902,111.615
1739940632.55985,1.01525390148163,1739940648.16954,115.44
1739940632.56995,1.02561461925507,1739940648.22085,118.815
1739940632.58006,1.03660094738007,1739940648.27149,122.27
1739940632.59015,1.06000602245331,1739940648.32199,126.15
1739940632.60023,1.06902015209198,1739940648.37251,129.79
1739940632.61031,1.07639968395233,1739940648.42306,133.185
1739940632.62041,1.0850590467453,1739940648.47371,136.775
1739940632.63056,1.0850590467453,1739940648.5243,140.485
1739940632.64066,1.09550559520721,1739940648.57479,143.825
1739940632.65073,1.10595595836639,1739940648.62532,147.335
