leg_length_1,leg_length_2,leg_length_3,leg_length_4,leg_length_5,leg_length_6,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
2.149704,1.821779,2.7739582,3.3721275,2.1155472,1.95499,-87.75164794921875,91.18447875976562,756.190185546875,0.02279210539820085,-0.057814622776987984,0.008485593626360656,0.9980310487332219
2.6835766,1.5798185,2.6827717,3.3384342,2.4882278,3.0998228,-107.404541015625,42.63478469848633,779.2870483398438,0.09419864949228085,0.015547122724185389,0.012950878978894197,0.9953477721499365
1.9459685,2.1772366,3.299593,3.594904,2.6102982,2.2526968,-106.31965637207031,45.12076950073242,779.7760009765625,-0.013647863247206574,-0.08622908237618193,0.011289365538763212,0.9961178870175131
2.0914135,1.9979686,3.1282063,3.5909348,2.6571712,2.4079301,-106.5359878540039,44.683692932128906,779.6263427734375,0.01730434993654991,-0.07317522800602419,0.008520647812443966,0.9971325562539779
1.8175505,1.110458,2.5918293,1.8191468,0.98706985,2.6229665,-145.39260864257812,-0.9864761233329773,710.2132568359375,-0.014356698642961678,0.11273757677283044,0.007154482603175659,0.9934953120288529
0.900007,0.5121914,2.264925,3.0888,2.388252,1.8260207,-145.1541748046875,1.7963048219680786,711.656005859375,0.0741126587497604,-0.11806037457699087,-0.006724070780778736,0.9902140447873353
0.8374479,1.7123238,3.2148762,2.1971984,1.2938325,1.7182956,-144.53640747070312,1.932219386100769,711.34716796875,-0.12069684523123363,-0.025246362610975768,0.008403567007412316,0.9923327482343731
1.9495676,0.8166119,2.1675127,2.240045,2.1097505,3.2865922,-125.5169448852539,-56.92091751098633,733.407958984375,0.09331392100235474,0.0692322716939295,0.013711241524302762,0.9931321190542276
0.98966956,0.88029253,2.3695982,3.0993571,2.971504,2.2973971,-124.0027847290039,-53.95574188232422,734.6480712890625,0.07258207371992485,-0.12034005902493856,-0.007108012932292489,0.990050296866455
1.3091867,2.016401,3.234163,1.8839029,1.6804385,2.4811873,-122.90452575683594,-54.03496170043945,733.9788208007812,-0.1081548339462738,0.03524832950289866,0.002769050004236364,0.9935051211454068
1.8361642,2.6420743,3.397865,1.4838327,1.921577,3.0175242,-85.0251693725586,-94.68797302246094,756.36767578125,-0.13500077795271875,0.09950496196576473,-0.005565315533032307,0.9858207606319771
1.8936002,2.1667917,2.983196,1.8133291,2.1986766,3.1795363,-85.83519744873047,-95.88790893554688,756.0401611328125,-0.05493908485327789,0.07293598975756341,0.004532545122659073,0.9958119760534792
1.7236154,1.4485928,2.4036558,2.5307536,2.9348235,3.1690383,-86.34607696533203,-95.60457611083984,756.6417236328125,0.06272558164276706,-0.012620155665788318,0.0034576177208060486,0.9979450300774383
1.3881071,2.4860055,2.9803789,2.856893,3.4778514,2.753818,-37.32784652709961,-113.77995300292969,779.8665161132812,-0.02934644126013904,-0.10522266363413002,0.008421966686015192,0.9939799000858869
2.2696989,1.9451748,2.3671565,2.4311442,3.2314544,3.635713,-40.34064865112305,-117.89605712890625,778.77294921875,0.06766526213676537,0.020366752197046267,0.009036233695936167,0.9974592535640738
2.802595,1.8487393,2.1965652,2.0361876,2.8318553,3.9285598,-32.799293518066406,-103.81461334228516,777.2803344726562,0.08652252404581535,0.10283769889171883,0.0011363647680533177,0.9909273314999395
0.77214015,2.3419034,2.3150058,0.9857723,2.362802,2.2359958,9.103275299072266,-151.74818420410156,710.2892456054688,-0.11419661551213121,-0.01769034122103098,0.005363181578455981,0.9932861703172039
1.2855679,1.5665127,1.5271926,1.1765683,2.621406,2.7636428,7.7321319580078125,-153.6831512451172,709.6423950195312,0.027471899237881636,0.014610335850423678,0.0030841077277440495,0.9995110404157177
1.346603,1.1996285,1.1799045,1.434766,2.9071727,2.8844333,8.030345916748047,-154.33770751953125,709.8085327148438,0.09053533535815683,-0.004575467824040042,0.0015035501879211836,0.9958816003208438
1.3907295,2.5646818,1.9998488,1.4128964,2.8425975,2.38376,63.2062873840332,-133.18798828125,731.9978637695312,-0.05235509955641387,-0.03476623691681179,0.006996656452980887,0.9979986414293319
1.1016079,2.7677438,2.2423472,1.5344155,2.8787932,2.125278,63.50831604003906,-132.33712768554688,732.2701416015625,-0.09212883465054217,-0.07469275202483187,0.011539066487803784,0.992874680992228
1.5912148,1.7775722,1.2104199,1.9328529,3.433847,2.649692,61.32651138305664,-134.2579803466797,731.90283203125,0.08997322691796027,-0.06534943905644089,-0.0029271674604437786,0.9937935918567794
1.8185269,2.6132026,1.6964447,2.2925348,3.5298533,2.3107028,101.13031005859375,-97.50304412841797,754.4234619140625,0.025284197972402053,-0.10273215274521205,0.0029880901628668638,0.9943831621958362
2.6236396,3.2522407,2.1948502,0.8615466,2.3123868,2.9386325,100.68782043457031,-98.3397445678711,753.7417602539062,-0.0812809423723296,0.11036215930899346,0.002791816320018833,0.9905583305066549
2.5707107,2.3819423,1.328891,1.6895075,3.066171,3.1298537,99.16935729980469,-99.66036987304688,754.0309448242188,0.07495843601308579,0.03490705034204531,0.01139927045820818,0.9965103026411128
3.1757045,3.4128852,2.1752045,1.4428625,2.502084,3.1081958,118.55401611328125,-54.39856719970703,776.7317504882812,-0.038878619118703335,0.1029638482521396,0.012000721115904969,0.9938525398901319
