NO_OF_FRAMES	6282
NO_OF_CAMERAS	4
NO_OF_MARKERS	11
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-11, 15:41:33.098	68320.78217323
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5	base_6					
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	base_6 X	base_6 Y	base_6 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
39	0.12667	458.609	-658.996	26.352	-401.528	-561.551	28.561	193.447	-491.704	28.724	249.099	-181.856	31.074	-93.249	-143.315	33.321	-239.498	-529.054	33.110	436.147	251.681	993.917	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
40	0.13000	458.526	-659.072	26.542	-401.496	-561.492	28.570	193.588	-491.812	29.505	249.079	-181.843	31.039	-93.234	-143.292	33.201	-239.475	-529.083	33.075	434.484	251.958	1010.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
41	0.13333	458.539	-659.105	26.416	-401.502	-561.570	28.535	193.643	-491.837	30.073	249.068	-181.898	31.004	-93.184	-143.294	33.244	-239.475	-529.083	33.075	432.853	252.072	1026.205	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
42	0.13667	458.433	-658.986	26.547	-401.517	-561.517	28.582	193.664	-491.872	30.396	249.069	-181.890	31.017	-93.240	-143.292	33.341	-239.467	-529.046	33.104	431.195	252.244	1042.179	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
43	0.14000	458.388	-659.003	26.669	-401.527	-561.543	28.566	193.653	-491.842	30.435	249.045	-181.869	31.016	-93.274	-143.229	33.310	-239.497	-529.015	33.124	429.716	252.329	1058.177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
44	0.14333	458.405	-659.012	26.653	-401.509	-561.533	28.581	193.655	-491.866	30.454	249.070	-181.834	31.035	-93.272	-143.275	33.238	-239.475	-529.082	33.074	428.294	252.326	1074.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45	0.14667	458.401	-659.029	26.678	-401.511	-561.533	28.557	193.639	-491.885	30.401	249.052	-181.872	30.968	-93.259	-143.278	33.360	-239.481	-529.080	33.059	426.893	251.988	1090.785	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
46	0.15000	458.411	-659.070	26.640	-401.501	-561.548	28.556	193.638	-491.898	30.369	249.069	-181.872	31.020	-93.241	-143.247	33.320	-239.498	-529.058	33.128	425.613	251.715	1106.908	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47	0.15333	458.433	-659.046	26.605	-401.498	-561.475	28.616	193.640	-491.897	30.368	249.081	-181.903	30.980	-93.256	-143.214	33.347	-239.475	-529.087	33.093	424.441	252.145	1122.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48	0.15667	458.380	-659.005	26.692	-401.526	-561.545	28.586	193.631	-491.892	30.379	249.084	-181.847	31.044	-93.262	-143.286	33.403	-239.481	-529.080	33.059	423.020	252.192	1138.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
49	0.16000	458.395	-658.959	26.705	-401.514	-561.517	28.597	193.645	-491.874	30.433	249.078	-181.848	31.020	-93.239	-143.255	33.414	-239.498	-529.054	33.110	421.466	252.165	1153.610	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
50	0.16333	458.381	-659.019	26.643	-401.493	-561.496	28.586	193.630	-491.893	30.380	249.064	-181.902	31.002	-93.257	-143.312	33.339	-239.475	-529.082	33.074	420.011	252.315	1168.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
51	0.16667	458.442	-659.110	26.625	-401.505	-561.510	28.568	193.665	-491.870	30.442	249.057	-181.902	31.012	-93.248	-143.206	33.385	-239.498	-529.054	33.110	418.514	252.167	1184.216	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
52	0.17000	458.426	-659.076	26.629	-401.538	-561.550	28.534	193.682	-491.869	30.405	249.086	-181.857	31.007	-93.250	-143.230	33.409	-239.475	-529.082	33.075	416.979	252.120	1199.419	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
53	0.17333	458.409	-659.033	26.696	-401.537	-561.543	28.532	193.654	-491.870	30.360	249.062	-181.893	30.995	-93.253	-143.270	33.309	-239.475	-529.083	33.075	415.399	251.788	1214.255	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
54	0.17667	458.382	-659.060	26.623	-401.501	-561.518	28.552	193.630	-491.893	30.380	249.077	-181.862	31.026	-93.213	-143.294	33.228	-239.492	-529.056	33.126	413.868	251.799	1229.221	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
55	0.18000	458.413	-659.022	26.624	-401.527	-561.515	28.586	193.648	-491.890	30.390	249.062	-181.841	31.052	-93.250	-143.276	33.294	-239.461	-529.049	33.121	412.255	251.659	1243.984	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
56	0.18333	458.432	-659.018	26.658	-401.538	-561.540	28.521	193.657	-491.848	30.426	249.069	-181.873	31.028	-93.272	-143.284	33.386	-239.490	-529.018	33.140	410.734	251.651	1258.745	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
57	0.18667	458.402	-659.035	26.721	-401.510	-561.524	28.559	193.665	-491.870	30.442	249.058	-181.889	30.985	-93.252	-143.246	33.393	-239.498	-529.049	33.092	409.144	251.582	1273.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
58	0.19000	458.445	-659.050	26.668	-401.507	-561.484	28.607	193.636	-491.871	30.397	249.085	-181.883	31.064	-93.247	-143.265	33.316	-239.476	-529.121	33.061	407.532	251.523	1287.846	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
59	0.19333	458.412	-659.001	26.614	-401.492	-561.518	28.587	193.655	-491.870	30.360	249.076	-181.888	30.992	-93.236	-143.267	33.221	-239.467	-529.042	33.086	405.979	251.507	1302.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
60	0.19667	458.398	-659.001	26.633	-401.515	-561.499	28.549	193.640	-491.887	30.353	249.053	-181.875	31.018	-93.218	-143.270	33.282	-239.461	-529.049	33.121	404.362	251.443	1316.434	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
61	0.20000	458.412	-659.048	26.629	-401.588	-561.510	28.608	193.655	-491.868	30.407	249.063	-181.872	31.023	-93.263	-143.268	33.335	-239.515	-529.023	33.144	402.853	251.445	1330.498	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
62	0.20333	458.432	-659.041	26.547	-401.488	-561.495	28.615	193.643	-491.865	30.419	249.077	-181.848	31.045	-93.234	-143.267	33.313	-239.475	-529.082	33.075	401.219	251.257	1344.458	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
63	0.20667	458.417	-659.051	26.667	-401.492	-561.479	28.622	193.654	-491.868	30.407	249.062	-181.879	31.041	-93.254	-143.315	33.288	-239.492	-529.056	33.126	399.715	251.415	1358.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
64	0.21000	458.421	-659.045	26.629	-401.535	-561.583	28.512	193.655	-491.868	30.407	249.110	-181.883	31.052	-93.287	-143.288	33.384	-239.474	-529.078	33.056	398.203	251.464	1372.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
65	0.21333	458.419	-659.016	26.628	-401.484	-561.522	28.586	193.665	-491.897	30.415	249.065	-181.921	31.045	-93.205	-143.280	33.190	-239.481	-529.080	33.059	396.597	251.392	1385.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
66	0.21667	458.438	-659.033	26.511	-401.515	-561.530	28.574	193.653	-491.869	30.408	249.085	-181.863	31.026	-93.268	-143.237	33.461	-239.498	-529.054	33.110	394.996	251.289	1398.979	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
67	0.22000	458.363	-658.977	26.666	-401.513	-561.516	28.603	193.618	-491.889	30.392	249.082	-181.863	31.037	-93.228	-143.249	33.330	-239.498	-529.054	33.110	393.469	251.264	1412.338	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68	0.22333	458.427	-659.033	26.598	-401.536	-561.528	28.568	193.645	-491.864	30.418	249.065	-181.870	31.089	-93.279	-143.273	33.305	-239.475	-529.083	33.075	391.849	251.312	1425.759	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69	0.22667	458.376	-659.022	26.648	-401.521	-561.531	28.546	193.649	-491.889	30.389	249.063	-181.837	31.034	-93.247	-143.289	33.252	-239.452	-529.116	33.058	390.140	251.143	1438.887	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
