NO_OF_FRAMES	3649
NO_OF_CAMERAS	4
NO_OF_MARKERS	12
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-11, 14:44:57.047	64924.73091080
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5	base_6						
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	base_6 X	base_6 Y	base_6 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
67	0.22000	458.355	-658.935	27.102	-401.455	-561.368	28.917	193.377	-491.657	28.935	249.018	-181.795	31.403	-93.255	-143.219	33.708	-239.449	-528.975	33.514	-497.663	749.667	910.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68	0.22333	458.358	-658.928	27.110	-401.469	-561.423	28.871	193.390	-491.639	28.937	249.031	-181.795	31.372	-93.251	-143.234	33.626	-239.441	-528.933	33.525	-501.152	746.528	906.138	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69	0.22667	458.370	-658.835	27.066	-401.494	-561.427	28.851	193.377	-491.630	28.861	249.008	-181.855	31.342	-93.211	-143.168	33.659	-239.441	-528.934	33.525	-504.679	743.544	902.204	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
70	0.23000	458.402	-658.928	26.945	-401.474	-561.425	28.872	193.414	-491.651	29.007	249.013	-181.810	31.351	-93.301	-143.249	33.769	-239.488	-528.876	33.596	-508.069	740.708	898.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
71	0.23333	458.380	-658.929	27.047	-401.455	-561.378	28.912	193.387	-491.636	28.912	249.018	-181.833	31.381	-93.274	-143.213	33.566	-239.466	-528.944	33.547	-511.557	737.979	894.507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
72	0.23667	458.371	-658.894	27.138	-401.479	-561.396	28.878	193.406	-491.646	29.003	249.036	-181.807	31.386	-93.262	-143.191	33.673	-239.441	-528.934	33.525	-515.108	735.467	890.643	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
73	0.24000	458.314	-658.776	27.144	-401.474	-561.426	28.861	193.347	-491.625	28.808	249.006	-181.830	31.347	-93.258	-143.267	33.635	-239.466	-528.944	33.547	-518.549	732.930	886.932	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74	0.24333	458.355	-658.845	27.036	-401.467	-561.393	28.920	193.388	-491.665	28.954	248.986	-181.847	31.315	-93.223	-143.222	33.597	-239.458	-528.907	33.577	-522.001	730.638	883.297	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75	0.24667	458.331	-658.832	27.090	-401.453	-561.411	28.910	193.385	-491.638	28.985	249.002	-181.805	31.345	-93.301	-143.214	33.707	-239.449	-528.970	33.495	-525.448	728.406	879.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76	0.25000	458.392	-658.896	27.019	-401.478	-561.439	28.840	193.395	-491.617	28.940	249.013	-181.828	31.398	-93.248	-143.219	33.623	-239.465	-528.939	33.529	-528.794	726.275	876.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
